rank,name,team,position,salary,projected_underdog,ceiling,floor,value,ppg,rpg,apg,threes,stl,blk,to,gp
1,Nikola Jokić,DEN,F,8670,64.34,80.4,48.3,9.27,28.9,12.2,10.7,2.1,1.4,0.8,3.5,37
2,Luka Dončić,LAL,F,9840,60.41,75.5,45.3,7.67,32.8,7.8,8.6,3.5,1.5,0.5,4.3,42
3,Jalen Johnson,ATL,F,7020,52.02,65.0,39.0,9.26,23.4,10.6,8.2,1.7,1.3,0.5,3.4,49
4,Tyrese Maxey,PHI,F,8640,51.99,65.0,39.0,7.52,28.8,4.2,6.9,3.4,2.0,0.8,2.4,50
5,Shai Gilgeous-Alexander,OKC,PG,10200,51.63,64.5,38.7,6.32,31.8,4.4,6.4,1.8,1.3,0.8,2.1,49
6,Cade Cunningham,DET,PG,6000,50.6,63.2,38.0,10.53,25.1,5.5,9.7,1.8,1.4,0.8,3.7,45
7,Giannis Antetokounmpo,MIL,PF,10500,50.45,63.1,37.8,6.01,28.0,10.0,5.6,0.5,0.9,0.7,3.3,30
8,Donovan Mitchell,CLE,SG,8000,49.02,61.3,36.8,7.66,28.9,4.6,5.9,3.7,1.5,0.3,3.1,49
9,Victor Wembanyama,SAS,F,7170,48.97,61.2,36.7,8.54,23.9,11.1,2.7,1.8,0.9,2.7,2.6,38
10,James Harden,CLE,F,7620,47.96,60.0,36.0,7.87,25.4,4.8,8.1,3.1,1.3,0.4,3.7,45
11,Kawhi Leonard,LAC,F,8400,47.96,60.0,36.0,7.14,28.0,6.3,3.7,2.7,2.1,0.5,2.1,39
12,Jaylen Brown,BOS,F,8820,47.83,59.8,35.9,6.78,29.4,6.9,4.7,2.1,1.0,0.4,3.6,48
13,Anthony Edwards,MIN,F,8880,47.54,59.4,35.7,6.69,29.6,5.2,3.7,3.3,1.3,0.8,2.7,44
14,Jamal Murray,DEN,F,7800,47.36,59.2,35.5,7.59,26.0,4.3,7.5,3.3,1.0,0.4,2.3,48
15,Deni Avdija,POR,F,7650,47.34,59.2,35.5,7.74,25.5,7.2,6.7,2.3,0.8,0.6,3.9,44
16,Alperen Sengun,HOU,F,6240,45.33,56.7,34.0,9.09,20.8,9.4,6.3,0.6,1.4,1.0,3.2,44
17,Stephen Curry,GSW,PG,9300,44.7,55.9,33.5,6.01,27.2,3.5,4.8,4.5,1.1,0.4,2.8,39
18,Austin Reaves,LAL,F,7830,44.69,55.9,33.5,7.14,26.1,5.2,6.0,2.6,1.0,0.2,3.3,26
19,Joel Embiid,PHI,C,10000,44.65,55.8,33.5,5.58,26.6,7.5,3.9,1.3,0.6,1.1,3.0,31
20,Josh Giddey,CHI,F,5580,44.47,55.6,33.4,9.96,18.6,8.6,8.8,1.7,0.9,0.3,3.5,34
21,Jalen Brunson,NYK,PG,6500,43.61,54.5,32.7,8.38,27.1,3.3,6.1,2.9,0.7,0.1,2.2,48
22,Lauri Markkanen,UTA,F,8130,43.58,54.5,32.7,6.7,27.1,6.9,2.1,2.8,1.0,0.5,1.5,39
23,Michael Porter Jr.,BKN,F,7500,43.29,54.1,32.5,7.21,25.0,7.2,3.2,3.7,1.0,0.2,2.5,41
24,Scottie Barnes,TOR,SF,5800,43.23,54.0,32.4,9.31,19.4,8.4,5.6,0.9,1.3,1.6,2.7,53
25,Kevin Durant,HOU,PF,9500,43.01,53.8,32.3,5.66,25.9,5.3,4.4,2.3,0.8,0.9,3.1,48
26,Anthony Davis,WAS,C,8800,42.97,53.7,32.2,6.1,20.4,11.1,2.8,0.5,1.1,1.7,2.1,20
27,LeBron James,LAL,SF,9000,42.09,52.6,31.6,5.84,21.8,5.7,6.8,1.4,1.1,0.6,3.1,34
28,Devin Booker,PHX,F,7590,42.0,52.5,31.5,6.92,25.3,4.0,6.3,1.7,0.9,0.3,3.3,42
29,Keyonte George,UTA,F,7140,41.88,52.4,31.4,7.34,23.8,3.9,6.5,2.5,1.1,0.3,3.3,48
30,Paolo Banchero,ORL,PF,7200,41.75,52.2,31.3,7.25,21.7,8.5,4.9,1.1,0.7,0.7,2.8,41
31,Karl-Anthony Towns,NYK,F,5910,41.68,52.1,31.3,8.82,19.7,11.9,2.9,1.6,0.9,0.6,2.5,49
32,Pascal Siakam,IND,F,7080,41.39,51.7,31.0,7.3,23.6,6.7,3.9,1.8,1.1,0.5,2.2,50
33,Julius Randle,MIN,F,6630,41.33,51.7,31.0,7.8,22.1,6.9,5.4,1.5,1.1,0.2,2.5,54
34,Trey Murphy III,NOP,F,6660,40.56,50.7,30.4,7.61,22.2,5.8,3.7,3.2,1.5,0.3,1.9,50
35,LaMelo Ball,CHA,F,5730,40.46,50.6,30.3,8.83,19.1,4.8,7.5,3.3,1.1,0.2,3.1,43
36,Evan Mobley,CLE,F,5370,40.31,50.4,30.2,9.39,17.9,8.8,4.0,1.1,0.9,2.0,2.1,42
37,Kevin Porter Jr.,MIL,F,5130,39.89,49.9,29.9,9.73,17.1,5.2,7.5,1.5,2.3,0.4,3.2,25
38,Cooper Flagg,DAL,F,6090,38.52,48.2,28.9,7.91,20.3,6.6,4.2,1.1,1.2,0.8,2.2,48
39,Franz Wagner,ORL,SF,6800,38.32,47.9,28.7,7.04,22.2,6.1,3.6,1.5,1.1,0.3,1.8,26
40,Bam Adebayo,MIA,F,5460,38.31,47.9,28.7,8.77,18.2,9.8,2.7,1.6,1.1,0.7,1.8,46
41,Brandon Ingram,TOR,F,6600,38.26,47.8,28.7,7.24,22.0,5.8,3.7,1.8,0.8,0.8,2.5,52
42,Amen Thompson,HOU,F,5340,38.22,47.8,28.7,8.95,17.8,7.6,5.5,0.3,1.4,0.6,2.5,50
43,Derrick White,BOS,F,5220,38.13,47.7,28.6,9.14,17.4,4.4,5.5,2.9,1.2,1.4,1.8,51
44,Walker Kessler,UTA,F,4320,37.86,47.3,28.4,10.95,14.4,10.8,3.0,1.2,1.4,1.8,3.2,5
45,Ja Morant,MEM,F,5850,37.41,46.8,28.1,8.0,19.5,3.3,8.1,1.0,1.0,0.3,3.6,20
46,De'Aaron Fox,SAS,F,5850,37.35,46.7,28.0,7.98,19.5,4.0,6.2,2.0,1.2,0.3,2.5,43
47,Jimmy Butler III,GSW,F,6000,37.27,46.6,28.0,7.77,20.0,5.6,4.9,0.8,1.4,0.2,1.6,38
48,Trae Young,WAS,PG,7500,37.15,46.4,27.9,6.19,19.3,1.5,8.9,1.8,1.0,0.1,2.6,10
49,Domantas Sabonis,SAC,F,4740,36.78,46.0,27.6,9.7,15.8,11.4,4.1,0.3,0.9,0.2,2.7,19
50,Stephon Castle,SAS,F,5130,36.59,45.7,27.4,8.91,17.1,5.2,7.0,1.1,1.4,0.3,3.5,42
51,Alex Sarr,WAS,F,5160,36.51,45.6,27.4,8.84,17.2,7.8,2.8,1.0,0.8,2.0,1.7,41
52,Nikola Vučević,BOS,F,4980,36.5,45.6,27.4,9.16,16.6,9.0,3.7,1.7,0.7,0.6,1.5,50
53,Brandon Miller,CHA,F,6090,36.24,45.3,27.2,7.44,20.3,4.7,3.3,2.9,1.0,0.9,2.7,36
54,Zion Williamson,NOP,F,6480,36.19,45.2,27.1,6.98,21.6,6.2,3.4,0.0,1.0,0.6,2.3,38
55,Onyeka Okongwu,ATL,F,4890,36.13,45.2,27.1,9.24,16.3,7.9,3.3,2.0,1.2,1.0,2.0,48
56,Chet Holmgren,OKC,F,5310,36.04,45.0,27.0,8.47,17.7,8.7,1.6,1.3,0.5,2.0,1.6,46
57,Tyler Herro,MIA,F,6570,36.04,45.0,27.0,6.85,21.9,4.7,2.7,2.2,1.0,0.5,1.5,11
58,Immanuel Quickley,TOR,F,5100,36.03,45.0,27.0,8.82,17.0,4.4,6.1,2.6,1.3,0.1,1.6,51
59,Norman Powell,MIA,F,6900,35.92,44.9,26.9,6.51,23.0,3.6,2.6,2.9,1.2,0.2,2.0,45
60,Ryan Rollins,MIL,F,5070,35.72,44.6,26.8,8.8,16.9,4.6,5.5,2.4,1.5,0.4,2.3,50
61,Russell Westbrook,SAC,F,4590,35.71,44.6,26.8,9.72,15.3,5.8,6.7,2.1,1.3,0.2,3.4,51
62,Nickeil Alexander-Walker,ATL,F,6060,35.7,44.6,26.8,7.36,20.2,3.5,3.7,3.1,1.2,0.6,1.9,52
63,Jalen Duren,DET,F,5310,35.3,44.1,26.5,8.31,17.7,10.5,1.7,0.0,0.9,0.8,1.9,43
64,Kon Knueppel,CHA,F,5670,34.9,43.6,26.2,7.69,18.9,5.5,3.6,3.3,0.7,0.2,2.2,52
65,Jaren Jackson Jr.,UTA,F,5790,34.89,43.6,26.2,7.53,19.3,5.7,1.9,1.8,1.1,1.5,2.2,46
66,Andrew Nembhard,IND,F,5190,34.78,43.5,26.1,8.38,17.3,2.9,7.4,1.9,0.9,0.2,2.4,42
67,Miles Bridges,CHA,F,5520,34.47,43.1,25.9,7.81,18.4,6.1,3.5,2.2,0.5,0.5,1.4,52
68,Desmond Bane,ORL,F,5790,34.26,42.8,25.7,7.39,19.3,4.3,4.2,1.8,0.9,0.5,2.2,51
69,Shaedon Sharpe,POR,F,6420,34.18,42.7,25.6,6.65,21.4,4.4,2.6,2.1,1.4,0.1,3.0,48
70,Jalen Williams,OKC,F,5040,34.16,42.7,25.6,8.47,16.8,4.8,5.6,0.8,1.3,0.4,2.0,24
71,Payton Pritchard,BOS,F,5130,33.94,42.4,25.5,8.27,17.1,4.2,5.3,2.6,0.8,0.1,1.1,52
72,Darius Garland,LAC,PG,6200,33.93,42.4,25.4,6.84,18.0,2.4,6.9,2.3,0.8,0.1,2.8,26
73,Kyshawn George,WAS,F,4530,33.75,42.2,25.3,9.32,15.1,5.5,4.9,2.1,1.1,0.9,2.8,42
74,Jrue Holiday,POR,F,4470,33.68,42.1,25.3,9.42,14.9,4.4,6.5,2.2,1.3,0.1,2.5,24
75,Jusuf Nurkić,UTA,F,3500,33.66,42.1,25.2,12.03,11.0,10.3,4.9,0.6,1.3,0.5,2.5,39
76,RJ Barrett,TOR,F,5580,33.51,41.9,25.1,7.51,18.6,5.3,3.6,1.8,0.8,0.3,1.7,30
77,Paul George,PHI,F,4800,33.27,41.6,25.0,8.67,16.0,5.1,3.7,2.4,1.5,0.5,1.6,27
78,VJ Edgecombe,PHI,F,4500,32.98,41.2,24.7,9.16,15.0,5.4,4.2,2.1,1.5,0.5,1.8,48
79,Mikal Bridges,NYK,F,4710,32.87,41.1,24.7,8.73,15.7,4.1,4.1,2.2,1.4,0.8,1.0,53
80,Coby White,CHA,PG,5200,32.69,40.9,24.5,7.87,18.6,3.7,4.7,2.5,0.7,0.1,3.0,29
81,OG Anunoby,NYK,F,4980,32.65,40.8,24.5,8.19,16.6,5.5,2.4,2.1,1.7,0.7,2.1,41
82,Jalen Suggs,ORL,F,4260,32.52,40.7,24.4,9.55,14.2,4.1,5.2,1.9,1.8,0.7,2.6,31
83,Zach Edey,MEM,F,4080,32.47,40.6,24.4,9.95,13.6,11.1,1.1,0.1,0.6,1.9,2.4,11
84,Grayson Allen,PHX,F,5100,32.45,40.6,24.3,7.96,17.0,3.0,4.0,3.3,1.4,0.3,1.7,35
85,Ivica Zubac,IND,F,4320,32.35,40.4,24.3,9.35,14.4,11.0,2.2,0.0,0.4,0.8,1.9,43
86,Dyson Daniels,ATL,F,3500,32.3,40.4,24.2,11.54,11.4,6.5,6.2,0.2,1.9,0.4,2.0,52
87,Josh Hart,NYK,F,3660,32.3,40.4,24.2,11.04,12.2,7.5,5.0,1.6,1.2,0.3,2.0,41
88,Dillon Brooks,PHX,F,6330,32.22,40.3,24.2,6.37,21.1,3.6,1.8,2.4,1.1,0.2,1.8,47
89,Kristaps Porziņģis,GSW,F,5130,32.22,40.3,24.2,7.86,17.1,5.1,2.7,1.8,0.5,1.3,0.9,17
90,Donovan Clingan,POR,F,3500,32.15,40.2,24.1,11.49,11.4,11.5,2.0,0.9,0.5,1.3,1.1,49
91,Aaron Gordon,DEN,F,5310,31.99,40.0,24.0,7.53,17.7,6.2,2.5,1.8,0.7,0.2,1.0,23
92,DeMar DeRozan,SAC,F,5670,31.74,39.7,23.8,7.0,18.9,3.2,3.9,0.7,1.2,0.3,1.1,54
93,CJ McCollum,ATL,F,5520,31.68,39.6,23.8,7.17,18.4,3.4,3.5,2.6,0.7,0.4,1.7,49
94,Anthony Black,ORL,F,4770,31.55,39.4,23.7,8.26,15.9,4.0,4.1,1.6,1.4,0.7,2.2,51
95,Jabari Smith Jr.,HOU,F,4560,31.48,39.4,23.6,8.64,15.2,6.9,1.9,2.2,0.8,1.0,1.3,50
96,Andrew Wiggins,MIA,F,4710,31.35,39.2,23.5,8.32,15.7,5.0,2.8,1.9,1.2,1.0,1.7,49
97,Naz Reid,MIN,F,4320,31.33,39.2,23.5,9.07,14.4,6.4,2.5,2.5,1.0,0.9,1.6,54
98,Rudy Gobert,MIN,F,3500,31.16,39.0,23.4,11.14,10.7,11.3,1.7,0.0,0.8,1.7,1.3,52
99,Collin Gillespie,PHX,F,4080,31.02,38.8,23.3,9.51,13.6,4.1,4.7,3.1,1.4,0.2,1.7,52
100,Saddiq Bey,NOP,F,5010,31.01,38.8,23.3,7.74,16.7,5.8,2.5,1.9,1.0,0.0,0.6,47
101,Donte DiVincenzo,MIN,F,3900,30.7,38.4,23.0,9.85,13.0,4.5,4.1,3.1,1.4,0.5,1.5,54
102,Jerami Grant,POR,F,5730,30.7,38.4,23.0,6.7,19.1,3.5,2.5,2.3,0.6,0.6,2.1,37
103,Santi Aldama,MEM,F,4200,30.54,38.2,22.9,9.1,14.0,6.7,2.9,1.6,0.9,0.7,1.3,43
104,Keegan Murray,SAC,F,4380,30.47,38.1,22.9,8.7,14.6,6.1,1.5,1.3,1.2,1.6,1.2,19
105,P.J. Washington,DAL,F,4230,30.42,38.0,22.8,8.98,14.1,7.1,1.9,1.2,1.0,1.4,2.1,37
106,Derik Queen,NOP,F,3690,30.41,38.0,22.8,10.3,12.3,7.3,4.3,0.3,1.0,0.9,2.4,53
107,Nic Claxton,BKN,F,3660,30.14,37.7,22.6,10.3,12.2,7.2,4.0,0.0,0.7,1.3,1.4,49
108,Jarrett Allen,CLE,F,4290,30.12,37.6,22.6,8.76,14.3,8.1,2.0,0.0,1.0,0.9,1.4,41
109,Bennedict Mathurin,LAC,F,5340,30.08,37.6,22.6,7.04,17.8,5.4,2.3,2.1,0.6,0.1,2.3,28
110,Jaime Jaquez Jr.,MIA,F,4560,30.08,37.6,22.6,8.25,15.2,5.4,4.7,0.5,0.8,0.2,2.3,49
111,Isaiah Hartenstein,OKC,F,3500,30.03,37.5,22.5,10.71,10.7,9.9,3.4,0.0,1.0,0.7,2.1,28
112,Matas Buzelis,CHI,F,4530,30.03,37.5,22.5,8.28,15.1,5.4,2.1,2.0,0.7,1.4,1.8,53
113,Zach LaVine,SAC,F,5760,29.56,36.9,22.2,6.41,19.2,2.8,2.3,2.5,0.7,0.3,1.9,39
114,Peyton Watson,DEN,F,4470,28.78,36.0,21.6,8.05,14.9,4.9,2.0,1.5,1.0,1.2,1.8,49
115,Jaden McDaniels,MIN,SF,4200,28.24,35.3,21.2,8.4,14.8,4.2,2.8,1.5,0.9,0.9,1.8,52
116,Myles Turner,MIL,F,3870,28.22,35.3,21.2,9.12,12.9,5.6,1.6,2.2,0.7,1.6,1.2,48
117,Cedric Coward,MEM,F,4080,28.11,35.1,21.1,8.6,13.6,6.3,2.9,1.5,0.6,0.4,1.8,47
118,Jaylon Tyson,CLE,F,4200,28.1,35.1,21.1,8.36,14.0,5.5,2.4,2.1,0.9,0.4,1.6,48
119,Toumani Camara,POR,F,3840,27.61,34.5,20.7,8.98,12.8,5.3,2.6,2.5,1.0,0.5,1.9,53
120,Naji Marshall,DAL,F,4410,27.6,34.5,20.7,7.82,14.7,5.0,3.0,0.9,1.0,0.1,1.4,51
121,Tre Jones,CHI,F,3720,27.6,34.5,20.7,9.27,12.4,3.0,5.8,0.6,1.3,0.2,1.4,38
122,Ajay Mitchell,OKC,F,4230,27.55,34.4,20.7,8.13,14.1,3.5,3.7,1.1,1.4,0.3,1.6,43
123,Ayo Dosunmu,MIN,F,4500,27.55,34.4,20.7,7.64,15.0,3.0,3.6,2.0,0.8,0.3,1.3,46
124,Kel'el Ware,MIA,F,3500,27.49,34.4,20.6,9.83,11.3,9.2,0.6,1.1,0.8,1.0,0.9,50
125,Wendell Carter Jr.,ORL,F,3570,27.41,34.3,20.6,9.61,11.9,7.3,2.1,1.2,0.8,0.7,1.2,49
126,Deandre Ayton,LAL,F,4020,27.33,34.2,20.5,8.51,13.4,8.4,0.9,0.0,0.6,1.0,1.4,45
127,Tari Eason,HOU,F,3720,27.26,34.1,20.4,9.17,12.4,6.3,1.4,2.2,1.3,0.6,1.6,29
128,Mark Williams,PHX,F,3660,27.14,33.9,20.4,9.26,12.2,8.2,1.1,0.0,1.0,1.0,1.1,48
129,Devin Vassell,SAS,F,4320,27.03,33.8,20.3,7.82,14.4,3.9,2.4,2.4,0.8,0.4,0.9,39
130,Bobby Portis,MIL,F,4020,26.79,33.5,20.1,8.33,13.4,6.7,1.7,1.9,0.5,0.2,1.0,48
131,Kelly Oubre Jr.,PHI,F,4230,26.79,33.5,20.1,7.92,14.1,4.7,1.5,1.8,1.2,0.6,1.2,30
132,Cam Spencer,MEM,F,3600,26.69,33.4,20.0,9.28,12.0,2.7,5.6,2.2,0.7,0.1,1.5,49
133,Ausar Thompson,DET,F,3500,26.65,33.3,20.0,9.51,10.4,6.0,2.7,0.1,1.9,0.9,1.4,47
134,Aaron Nesmith,IND,F,4080,26.52,33.1,19.9,8.11,13.6,4.6,2.2,2.4,0.7,0.5,1.4,31
135,Dennis Schröder,CLE,F,3780,26.35,32.9,19.8,8.7,12.6,3.0,5.3,1.4,0.8,0.1,2.0,42
136,Brandin Podziemski,GSW,F,3570,26.22,32.8,19.7,9.19,11.9,4.6,3.5,1.7,1.1,0.2,1.5,53
137,Quentin Grimes,PHI,F,3810,26.11,32.6,19.6,8.56,12.7,3.8,3.6,1.8,0.9,0.4,1.9,48
138,Draymond Green,GSW,F,3500,25.97,32.5,19.5,9.29,8.3,5.6,5.2,1.5,0.8,0.7,2.7,44
139,Neemias Queta,BOS,F,3500,25.86,32.3,19.4,9.23,9.8,8.3,1.5,0.0,0.9,1.3,1.1,50
140,Tobias Harris,DET,F,4050,25.79,32.2,19.3,7.95,13.5,4.7,2.4,1.4,0.9,0.2,1.1,35
141,Isaiah Collier,UTA,F,3500,25.72,32.1,19.3,9.17,10.2,2.6,7.2,0.4,0.9,0.3,2.4,45
142,Davion Mitchell,MIA,F,3500,25.6,32.0,19.2,9.14,9.0,2.5,7.1,1.2,1.2,0.1,1.7,44
143,Royce O'Neale,PHX,F,3500,25.58,32.0,19.2,9.14,10.3,4.9,2.9,2.8,1.2,0.3,1.5,53
144,Reed Sheppard,HOU,F,3750,25.45,31.8,19.1,8.48,12.5,2.5,3.0,2.3,1.4,0.5,1.3,51
145,Keldon Johnson,SAS,F,4050,25.18,31.5,18.9,7.78,13.5,5.9,1.4,1.2,0.7,0.2,1.0,52
146,John Collins,LAC,F,4140,25.1,31.4,18.8,7.58,13.8,5.0,0.9,1.4,0.8,0.8,1.3,49
147,Julian Champagnie,SAS,F,3500,25.1,31.4,18.8,8.97,11.4,6.0,1.4,2.5,0.8,0.4,1.0,52
148,Kyle Kuzma,MIL,F,3900,25.1,31.4,18.8,8.05,13.0,5.0,2.6,1.0,0.6,0.4,1.6,47
149,Miles McBride,NYK,F,3870,24.92,31.2,18.7,8.06,12.9,2.6,2.8,2.9,0.9,0.2,0.8,35
150,Jordan Poole,NOP,F,4350,24.86,31.1,18.6,7.15,14.5,1.8,3.1,2.5,0.7,0.3,1.9,28
151,Noah Clowney,BKN,F,3840,24.84,31.1,18.6,8.1,12.8,4.2,1.8,2.0,0.8,0.8,1.8,46
152,Jeremiah Fears,NOP,F,3930,24.82,31.0,18.6,7.89,13.1,3.6,3.0,1.0,1.2,0.3,2.2,54
153,Jock Landale,ATL,F,3500,24.63,30.8,18.5,8.8,11.5,6.4,1.7,1.2,0.5,0.6,1.0,47
154,Collin Sexton,CHI,F,4290,24.33,30.4,18.2,7.09,14.3,1.9,3.7,1.3,0.8,0.2,2.2,43
155,Anfernee Simons,CHI,F,4290,24.28,30.4,18.2,7.09,14.3,2.4,2.5,2.7,0.5,0.1,1.1,51
156,Sandro Mamukelashvili,TOR,F,3500,24.25,30.3,18.2,8.66,11.5,5.0,2.0,1.4,0.8,0.6,0.9,52
157,Max Christie,DAL,F,3990,24.23,30.3,18.2,7.59,13.3,3.4,2.2,2.5,0.5,0.3,1.1,48
158,Moussa Diabaté,CHA,F,3500,24.19,30.2,18.1,8.63,8.4,8.7,1.6,0.0,0.7,1.0,0.9,49
